k
0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
adv_k0_beta_1
74.82244897959183,71.40204081632653,67.07959183673469,61.957142857142856,56.07142857142857,50.18877551020408,44.525510204081634,39.216326530612236,34.4408163265306,30.08979591836734,26.179591836734687,22.710204081632646,19.65306122448979,16.938775510204078,14.595918367346938,12.567346938775508,10.885714285714284,9.420408163265305,8.183673469387756,7.138775510204082,6.253061224489796,5.485714285714286,4.8408163265306134,4.277551020408166,3.82857142857143,3.4448979591836753,3.0979591836734715,2.8163265306122467,2.5591836734693896,2.3224489795918384,2.1224489795918386,1.9265306122448997,1.7387755102040832,1.5918367346938789,1.4489795918367359,1.3428571428571439,1.2448979591836744,1.1551020408163273,1.0653061224489804,0.9795918367346946,0.8775510204081639,0.7877551020408169,0.6897959183673474,0.6163265306122453,0.5387755102040819,0.4897959183673472,0.45714285714285735,0.4408163265306124,0.42857142857142877,0.42857142857142877,0.42448979591836755
adv_k0_beta_100
49.8,37.349999999999994,24.9,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_k12_beta_1
76.50979591836733,74.63714285714285,72.18897959183673,69.22653061224489,65.8069387755102,62.34020408163265,58.84265306122448,55.469387755102034,52.33877551020407,49.4408163265306,46.73061224489796,44.159183673469386,41.67755102040816,39.35510204081632,37.17142857142857,35.09795918367347,33.195918367346934,31.420408163265304,29.755102040816325,28.281632653061223,26.922448979591834,25.66938775510204,24.50204081632653,23.33877551020408,22.24489795918367,21.281632653061223,20.302040816326528,19.3469387755102,18.412244897959184,17.489795918367346,16.624489795918365,15.759183673469387,14.869387755102041,14.044897959183672,13.248979591836731,12.51020408163265,11.824489795918364,11.191836734693876,10.632653061224488,10.048979591836732,9.47755102040816,8.963265306122448,8.43673469387755,7.942857142857142,7.465306122448979,7.036734693877551,6.746938775510204,6.538775510204082,6.3795918367346935,6.302040816326531,6.273469387755102
adv_k12_beta_100
78.66489795918365,77.16367346938775,74.60530612244897,70.69591836734692,65.28448979591836,58.65857142857142,50.912040816326524,42.11020408163265,32.95510204081632,24.281632653061223,16.746938775510202,10.697959183673468,6.093877551020406,2.893877551020408,1.0653061224489797,0.2571428571428571,0.024489795918367363,0.0040816326530612275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_k25_beta_1
79.89755102040814,78.67795918367345,77.12775510204081,75.25918367346938,73.09265306122448,70.8708163265306,68.61816326530612,66.40816326530611,64.28163265306122,62.15102040816326,60.048979591836726,57.938775510204074,55.84897959183673,53.82857142857142,51.88163265306121,50.0408163265306,48.31020408163264,46.65714285714285,45.14285714285714,43.72653061224489,42.41224489795918,41.2,39.999999999999986,38.893877551020395,37.897959183673464,36.93469387755102,35.99591836734693,35.02448979591836,34.03265306122449,33.0734693877551,32.16734693877551,31.25306122448979,30.408163265306115,29.62448979591836,28.934693877551016,28.302040816326524,27.738775510204082,27.195918367346938,26.689795918367345,26.146938775510204,25.587755102040813,25.0204081632653,24.489795918367342,23.963265306122445,23.399999999999995,22.83673469387755,22.334693877551018,21.90612244897959,21.559183673469388,21.261224489795918,21.02857142857143
adv_k25_beta_100
81.19959183673468,80.3595918367347,79.27877551020406,77.96938775510203,76.43551020408161,74.86673469387753,73.25897959183672,71.71836734693876,70.20408163265304,68.6285714285714,66.9142857142857,64.93469387755101,62.52244897959183,59.45714285714284,55.46938775510203,50.506122448979575,44.71020408163265,38.240816326530606,31.38367346938775,24.461224489795917,17.959183673469386,12.37551020408163,7.9387755102040805,4.632653061224489,2.3673469387755106,0.9795918367346942,0.29387755102040825,0.05714285714285718,0.0040816326530612275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_k50_beta_1
78.95510204081631,77.78367346938775,76.32244897959183,74.57142857142856,72.534693877551,70.48571428571427,68.46530612244896,66.51836734693877,64.71020408163264,62.92653061224488,61.20408163265304,59.55918367346937,57.96326530612243,56.43673469387753,54.975510204081615,53.5673469387755,52.281632653061216,51.11836734693877,50.03265306122448,48.95918367346939,47.906122448979595,46.91020408163265,45.97551020408163,45.06122448979592,44.12653061224489,43.199999999999996,42.35510204081632,41.57142857142856,40.82857142857142,40.05714285714286,39.31428571428572,38.55510204081632,37.88979591836735,37.25714285714286,36.61224489795918,35.99999999999999,35.47755102040816,34.97959183673469,34.57959183673469,34.08163265306122,33.54285714285714,33.03673469387755,32.46938775510204,31.86938775510204,31.33061224489795,30.84489795918367,30.497959183673466,30.277551020408158,30.126530612244892,30.085714285714282,30.12244897959183
adv_k50_beta_100
79.534693877551,78.65714285714284,77.52244897959183,76.1877551020408,74.63265306122447,73.04081632653059,71.4734693877551,69.93877551020408,68.46530612244896,67.06530612244897,65.68571428571428,64.38367346938774,63.13469387755101,61.914285714285704,60.77959183673469,59.6938775510204,58.69795918367346,57.78367346938775,56.91020408163264,56.09795918367346,55.37142857142856,54.681632653061214,54.03673469387755,53.39591836734694,52.76326530612245,52.12653061224489,51.49795918367346,50.840816326530614,50.1673469387755,49.48571428571428,48.71836734693877,47.80408163265306,46.72653061224489,45.31020408163265,43.50612244897959,41.20816326530612,38.31836734693877,34.88979591836734,30.96326530612244,26.604081632653052,22.114285714285707,17.644897959183673,13.432653061224489,9.714285714285712,6.5836734693877546,4.155102040816327,2.4285714285714284,1.2571428571428567,0.5551020408163264,0.19183673469387755,0.03265306122448983
adv_k75_beta_1
79.1604081632653,78.05183673469386,76.59632653061223,74.83061224489796,72.76285714285714,70.61,68.45367346938775,66.34285714285714,64.25714285714285,62.293877551020394,60.41224489795918,58.60816326530611,56.914285714285704,55.2938775510204,53.706122448979585,52.199999999999996,50.71428571428571,49.23265306122448,47.812244897959175,46.457142857142856,45.18367346938775,43.99183673469387,42.88979591836734,41.87755102040816,41.03673469387755,40.240816326530606,39.44897959183673,38.69387755102041,37.967346938775506,37.2530612244898,36.55102040816326,35.78775510204081,35.093877551020405,34.46530612244897,33.832653061224484,33.236734693877544,32.67755102040816,32.171428571428564,31.710204081632646,31.195918367346934,30.64897959183673,30.163265306122444,29.702040816326527,29.236734693877544,28.759183673469384,28.31020408163265,27.946938775510205,27.661224489795917,27.408163265306122,27.2,27.065306122448977
adv_k75_beta_100
80.01755102040815,79.07632653061223,77.84530612244897,76.38163265306122,74.68938775510205,72.98142857142855,71.30265306122448,69.68571428571428,68.15918367346939,66.74285714285713,65.35102040816325,64.01224489795918,62.6938775510204,61.4408163265306,60.2204081632653,59.061224489795904,57.955102040816314,56.94693877551019,55.999999999999986,55.13877551020407,54.342857142857135,53.583673469387755,52.873469387755094,52.21224489795918,51.57959183673469,50.97142857142856,50.326530612244895,49.583673469387755,48.8734693877551,48.14285714285714,47.38775510204081,46.62448979591836,45.92653061224489,45.346938775510196,44.893877551020395,44.493877551020404,44.15510204081632,43.84489795918367,43.575510204081624,43.20408163265305,42.75510204081632,42.29795918367346,41.79591836734693,41.24897959183673,40.746938775510195,40.26122448979592,39.89795918367347,39.61632653061224,39.383673469387745,39.22448979591836,39.151020408163255
adv_k100_beta_1
79.14448979591835,78.27999999999997,77.15020408163265,75.79591836734691,74.21306122448978,72.57183673469386,70.91714285714285,69.24897959183673,67.63265306122449,66.07346938775508,64.54693877551018,63.0938775510204,61.702040816326516,60.37551020408162,59.14693877551019,57.959183673469376,56.84489795918367,55.77142857142856,54.69387755102041,53.69795918367347,52.73469387755101,51.82857142857142,50.99183673469387,50.191836734693865,49.48571428571427,48.86938775510203,48.2204081632653,47.61224489795917,46.98775510204081,46.39183673469387,45.79999999999999,45.130612244897954,44.46530612244897,43.90612244897959,43.35102040816326,42.82448979591836,42.31020408163264,41.8734693877551,41.51428571428571,41.14285714285714,40.68979591836734,40.28571428571428,39.922448979591834,39.51836734693877,39.048979591836726,38.61632653061224,38.22448979591836,37.90612244897959,37.61632653061224,37.35918367346938,37.195918367346934
adv_k100_beta_100
79.86285714285714,79.19836734693877,78.30122448979591,77.21224489795917,75.95183673469387,74.60448979591837,73.26,71.9591836734694,70.68163265306121,69.51020408163266,68.41632653061225,67.36734693877551,66.43265306122449,65.55102040816327,64.69795918367348,63.91020408163264,63.171428571428564,62.4408163265306,61.738775510204064,61.06530612244897,60.42040816326529,59.80408163265306,59.22857142857142,58.66938775510203,58.15510204081632,57.681632653061214,57.18775510204081,56.71836734693878,56.277551020408154,55.8408163265306,55.35510204081631,54.80408163265305,54.24897959183673,53.71020408163265,53.134693877551015,52.53061224489795,51.90612244897959,51.33061224489795,50.87346938775509,50.424489795918355,49.97551020408162,49.5673469387755,49.191836734693865,48.84897959183674,48.56734693877551,48.281632653061216,48.028571428571425,47.86530612244898,47.75102040816326,47.689795918367345,47.67755102040816
clean_k0_beta_1
64.32,54.03285714285715,43.002857142857145,31.60142857142857,19.942857142857143,12.942857142857143,8.485714285714286,5.457142857142857,3.6571428571428584,2.5714285714285725,1.8285714285714303,1.342857142857144,0.9428571428571436,0.6857142857142863,0.485714285714286,0.37142857142857166,0.2571428571428573,0.17142857142857154,0.08571428571428578,0.05714285714285719,0.08571428571428578,0.05714285714285719,0.028571428571428595,0.028571428571428595,0.028571428571428595,0.028571428571428595,0.028571428571428595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean_k0_beta_100
48.919999999999995,36.69,24.459999999999997,12.229999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
