k
0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100
abs_beta_1
97.94285714285714,97.08571428571429,95.80000000000001,93.8,90.94285714285712,87.88571428571429,84.45714285714284,80.59999999999998,76.05714285714285,71.77142857142856,67.37142857142857,62.999999999999986,58.485714285714266,54.085714285714275,49.599999999999994,45.457142857142856,41.48571428571429,37.4,34.08571428571428,30.85714285714285,28.085714285714282,25.485714285714284,23.8,21.65714285714286,19.97142857142857,18.314285714285713,16.97142857142857,15.285714285714286,14.17142857142857,12.514285714285714,11.057142857142855,10.114285714285712,9.142857142857139,7.857142857142854,6.999999999999997,6.17142857142857,5.485714285714286,5.114285714285716,4.600000000000003,4.028571428571432,3.7714285714285745,3.3714285714285745,3.142857142857145,2.8857142857142875,2.4285714285714306,2.1142857142857157,1.8571428571428585,1.6571428571428584,1.5142857142857153,1.1714285714285724,0.9714285714285722
abs_beta_100
98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_k0_beta_1
95.64571428571428,93.47714285714285,90.65142857142857,86.82571428571428,82.14285714285714,77.2,71.88571428571429,65.99999999999999,59.97142857142856,54.085714285714275,48.28571428571428,42.68571428571429,37.028571428571425,31.771428571428565,27.457142857142856,23.88571428571428,20.4,17.885714285714286,15.714285714285714,14.142857142857142,12.314285714285713,11.22857142857143,9.885714285714286,9.2,8.285714285714286,7.371428571428571,6.600000000000001,6.2285714285714295,5.257142857142858,4.742857142857145,4.000000000000001,3.3428571428571443,3.0000000000000013,2.5714285714285725,2.2571428571428584,2.1428571428571446,1.8857142857142872,1.5714285714285727,1.2857142857142867,1.2285714285714295,1.057142857142858,1.0000000000000009,0.8285714285714291,0.6571428571428576,0.6000000000000004,0.6000000000000004,0.3428571428571431,0.3142857142857145,0.25714285714285734,0.2285714285714287,0.2571428571428573
adv_k0_beta_100
98.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_k12_beta_1
94.18285714285715,91.58000000000001,87.89142857142858,83.51714285714286,78.17142857142858,72.48571428571428,66.77142857142857,61.17142857142857,55.62857142857142,50.514285714285705,45.885714285714286,41.57142857142857,38.142857142857146,34.94285714285714,31.999999999999996,29.228571428571424,27.11428571428571,24.857142857142858,22.97142857142857,21.057142857142857,19.428571428571427,18.17142857142857,17.142857142857142,15.914285714285715,15.142857142857144,14.571428571428573,13.971428571428572,13.085714285714284,12.171428571428569,11.37142857142857,10.771428571428569,10.17142857142857,9.17142857142857,8.457142857142856,7.7142857142857135,7.628571428571427,7.114285714285714,6.542857142857143,5.885714285714286,5.571428571428573,4.857142857142859,4.457142857142858,3.714285714285716,3.4285714285714306,3.057142857142859,2.6571428571428592,2.2285714285714304,2.171428571428573,2.200000000000002,2.171428571428573,2.0285714285714302
